code,title,intro,includes,alsoIncludes,excludes
01.1.3.2,"Fish, dried, salted, in brine or smoked (ND)","Fish, dried, salted, in brine or smoked.","* fish fillets and meat, dried, salted, in brine or smoked",,"* meal, livers, roes, fins, maws and other offal (01.1.3.7)"
01.1.3.3,Fish preparations (ND),"Prepared foodstuffs consisting of fish, whether frozen or not.","* fillets covered only with batter or breadcrumbs, whether or not frozen
* canned fish
* surimi and other imitation crabmeat",,"* prepared or preserved livers, roes, fins and other offal (01.1.3.7)"
01.1.3.4,"Other seafood, live, fresh, chilled or frozen (ND)",,"* crabs, lobsters, crayfish, krill, sea spiders, shrimp, prawns and other crustaceans, live, fresh, chilled or frozen 
* cuttlefish; squid; octopuses; sea snails; abalone; and bivalves, such as oysters, scallops, mussels, clams, cockles, ark shells and other molluscs, live, fresh, chilled or frozen
* sea urchins, bêche-de-mer (sea cucumbers), jellyfish and other aquatic invertebrates, live, fresh, chilled or frozen",,"* terrestrial molluscs, including terrestrial snails, live, fresh, chilled or frozen (01.1.2.1, 01.1.2.2, 01.1.2.3)
* seaweeds and other edible aquatic plants (01.1.7.4)"
01.1.3.5,"Other seafood, dried, salted, in brine or smoked (ND)","Other seafood, as listed in subclass 01.1.3.4, dried, salted, in brine or smoked.",,,
01.1.3.6,Other seafood preparations (ND),"Prepared foodstuffs consisting of other seafood, as listed in subclass 01.1.3.4, whether frozen or not.",,,
01.1.3.7,"Livers, roes and other offal of fish and of other seafood in all forms (ND)",,"* meal, livers, roes, fins, maws, and other offal in all product forms, i.e., fresh, chilled, frozen, dried, salted, in brine or smoked, prepared or preserved",,* seaweeds and other aquatic plants (01.1.7.4)
01.1.4,"Milk, other dairy products and eggs (ND)",,,,
01.1.4.1,Raw and whole milk (ND),"Raw and whole milk of cattle and buffaloes, sheep and goats, camels and other animals, fresh, pasteurized, sterilized (UHT) or reconstituted.",,,"* curdled, fermented or acidified milk and cream (01.1.4.6)"
01.1.4.2,Skimmed milk (ND),"Skimmed and semi-skimmed milk of cattle and buffaloes, sheep and goats, camels and other animals",,,
01.1.4.3,Other milk and cream (ND),Other milk and cream from all animals.,"* powdered, whole or skimmed milk
* evaporated and condensed milk
* fresh, clotted, thickened and whipped cream",* baked milk,"* beverages flavoured with cocoa, coffee or other substances (01.1.4.7)
* condensed, evaporated and powdered milk used as baby food (01.1.9.2)"
01.1.4.4,Non-animal milk (ND),Milk of non-animal origin in all forms.,"* almond milk
* coconut milk for drinking
* oat milk
* rice milk
* soy milk
* other milk from vegetables and nuts",,* coconut milk for cooking (01.1.9.3)
01.1.4.5,Cheese (ND),"All kinds of cheese (fresh, hard, semi-hard, blue cheese and cottage cheese) and curd, from animal and non-animal milk.",,,* tofu (01.1.7.9)
01.1.4.6,Yoghurt and similar products (ND),,"* yoghurt
* buttermilk and other fermented dairy products
* curdled milk and cream
* kefir and other fermented or acidified milk and cream, whether or not they are concentrated, contain added sugar or other sweetening matter, are flavoured or contain added fruits, nuts or cocoa
* yoghurt from non-animal milk (e.g., coconut yoghurt and soy yoghurt)",,* frozen yoghurt (01.1.8.6)
01.1.4.7,Milk-based dessert and beverages (ND),,"* milk-based desserts containing milk of animal and non-animal origin
* milk-based beverages containing milk of animal or non-animal origin, flavoured with cocoa, coffee or other substances","* milk-based puddings containing milk of animal or non-animal origin, panna cotta, crème brûlée and crema catalana",* lemon curd and similar fruit card (01.1.8.3)
01.1.4.8,Eggs (ND),,"* eggs of hens and other birds in shell, fresh
* eggs of other animals, including turtle eggs, in shell, fresh
* eggs whether in shell or not, preserved or cooked
* egg yolks, fresh or preserved
* egg albumen",,"* fish roe (01.1.3.7)
* omelettes, crêpes and other ready-made egg-based food products (01.1.9.1)"
01.1.4.9,Other dairy products (ND),,"* whey and casein
* cream, concentrated or containing added sugar or other sweeteners; and cream powder
* other products consisting of milk constituents, milk protein concentrates, and products obtained from whey",,"* butter and other oils and fats derived from milk (01.1.5.2)
* ice cream (01.1.8.6)"
01.1.5,Oils and fats (ND),,,,
01.1.5.1,Vegetable oils (ND),"All oils of vegetable origin, including oils extracted from fruits, nuts and other crops.","* sunflower seed and safflower oil
* palm and olive oil
* soya bean oil
* groundnut oil
* rapeseed, colza and mustard oil
* corn oil
* cotton oil
* other oils of vegetable origin","* coconut oil
* avocado oil
* rice bran oil",
01.1.5.2,Butter and other oils and fats derived from milk (ND),,"* butter
* butter oil
* ghee",,
01.1.5.3,Margarine and similar preparations (ND),,"* margarine
* diet margarine",,* peanut butter (01.1.8.4)
01.1.5.9,Other animal oils and fats (ND),,"* pig fat and lard, including leaves or other spices
* fat from cattle, buffaloes, sheep, goats and poultry
* greaves fat
* oils and fats of fish",,* cod liver or halibut liver oil (06.1.1.1)
01.1.6,Fruits and nuts (ND),,,,
01.1.6.1,"Dates, figs and tropical fruits, fresh (ND)",,"* dates
* figs
* avocados
* sweet/dessert bananas
* mangoes, guavas and mangosteens
* papayas
* pineapples
* coconuts
* breadfruits
* other tropical and subtropical fruits, fresh",,* plantains and cooking bananas (01.1.7.5)
01.1.6.2,"Citrus fruits, fresh (ND)",,"* oranges
* pomelos and grapefruits
* lemons and limes
* tangerines
* mandarins and clementines
* other citrus fruits, fresh",,
01.1.6.3,"Stone fruits and pome fruits, fresh (ND)",,"* apples
* pears and quinces
* apricots
* cherries and sour cherries
* peaches and nectarines
* plums and sloes
* other pome fruits and stone fruits, fresh",,
01.1.6.4,"Berries, fresh (ND)",,"* currants and gooseberries
* raspberries
* blackberries
* mulberries and loganberries
* strawberries
* other berries, fresh",,
01.1.6.5,"Other fruits, fresh (ND)",,"* grapes
* kiwi fruits
* cantaloupes and other melons
* watermelons
* pomegranates
* other fruits or mixtures of fruit, fresh, n.e.c.",,
01.1.6.6,"Fruits, frozen (ND)","Fruits cooked or uncooked, frozen, whether or not they contain added sugar or other sweetening matter.",,,
01.1.6.7,"Fruits, dried and dehydrated (ND)",,"* raisins
* prunes
* dried apricots
* dried coconuts
* other dried fruits",,* fruit flour (01.1.6.9)
01.1.6.8,"Nuts, in shell or shelled (ND)",,"* almonds
* cashew nuts
* chestnuts
* hazelnuts
* pistachios
* walnuts
* brazil nuts
* groundnuts
* other nuts in shell or shelled",,
01.1.6.9,"Fruits and nuts, ground, and in other preparations (ND)","Fruit and nut preparations, whether frozen or not.","* fruit flour and nut flour
* nuts, groundnuts and other seeds, roasted, salted or otherwise prepared
* canned fruit
* homogenized fruit preparations
* fruit pickles",,"* jams, marmalades, fruit jellies, purées and pastes (01.1.8.3)
* nut purées, nut butters and nut pastes (01.1.8.4)
* homogenized baby food preparations (01.1.9.2)"
01.1.7,"Vegetables, tubers, plantains, cooking bananas and pulses (ND)",,,,
01.1.7.1,"Leafy or stem vegetables, fresh or chilled (ND)",,"* asparagus
* cabbages
* cauliflower and broccoli
* lettuce and chicory
* spinach
* artichokes
* other leafy or stem vegetables, fresh or chilled",,
01.1.7.2,"Fruit-bearing vegetables, fresh or chilled (ND)",,"* chilies and peppers
* cucumbers and gherkins
* eggplants (aubergines)
* tomatoes
* pumpkins
* squash and gourds
* other fruit-bearing vegetables, fresh or chilled",,
01.1.7.3,"Green leguminous vegetables, fresh or chilled (ND)",,"* beans
* peas
* broad beans and horsebeans, also known as fava beans
* soya beans
* other green leguminous vegetables, fresh or chilled",,
01.1.7.4,"Other vegetables, fresh or chilled (ND)",,"* carrots and turnips
* garlic
* onions
* leeks and other alliaceous vegetables
* other root, bulb and tuberous vegetables, fresh or chilled
* mushrooms and truffles
* seaweeds and other aquatic plants
* olives
* other vegetables, fresh or chilled, n.e.c.
* mixtures of vegetables, fresh or chilled",,
01.1.7.5,"Tubers, plantains and cooking bananas, fresh or chilled (ND)",,"* all types of potatoes, including sweet potatoes 
* cassava, manioc and yucca
* yams
* taro
* yautia (also known as malanga, new cocoyam, ocumo and tannia)
* plantains and cooking bananas","* arrowroots, lotus roots, Jerusalem artichokes (topinambur) and tacca",* dessert bananas (01.1.6.1)
01.1.7.6,Pulses (ND),"Dried leguminous vegetables, shelled or unshelled, whether broken or not, but not further prepared.","* common beans and other beans
* broad beans and horsebeans, also known as fava beans 
* chickpeas
* lentils
* peas
* cowpeas
* pigeon peas
* bambara beans
* mixtures of pulses",,
01.1.7.7,"Other vegetables, tubers, plantains and cooking bananas, dried and dehydrated (ND)","Vegetables, other than leguminous; tubers; plantains; and cooking bananas, dried and dehydrated.","* dried soybeans
* dried potatoes
* dehydrated garlic and onions",,* flours of vegetables (01.1.7.9).
01.1.7.8,"Vegetables, tubers, plantains and cooking bananas, frozen (ND)",,"* vegetables listed in subclasses 01.1.7.1 to 01.1.7.4, frozen
* frozen tubers
* frozen plantains and cooking bananas",,* preparations such as frozen chipped potatoes (01.1.7.9)
01.1.7.9,"Vegetables, tubers, plantains, cooking bananas and pulses, ground, and in other preparations (ND)","Preparations of vegetables, tubers, salep, plantains, cooking bananas and pulses, whether frozen or not.","* flours of vegetables, pulses, tubers, plantains and cooking bananas
* canned vegetables
* preserved olives, vegetable flakes, vegetable purées and vegetable chips and crisps
* chipped potatoes, frozen
* vegetable concentrates
* homogenized preparations
* vegetable pickles","* soy meat and soy burgers, veggie burgers, tofu, tempeh and other meat substitutes made from vegetables and nuts
* kocho (a flatbread made from the starch obtained from the fermentation of the green leaf sheaths green leaf sheaths of the enset plant)
* potato starch, tapioca, sago and other starches","* seitan and other meat substitutes made from cereals (01.1.1.9)
* ready-made vegetable preparations, whether frozen or not, including other ingredients, such as cheese, meat or fish; and ready-made soups (01.1.9.1)
* homogenized baby food preparations (01.1.9.2)
* culinary herbs and spices (01.1.9.4)
* broths and stocks containing vegetables (01.1.9.9)
* vegetable juices (01.2.1.0)"
01.1.8,"Sugar, confectionery and desserts (ND)",,,,
01.1.8.1,Cane sugar and beet sugar (ND),,"* cane and beet sugar, raw and refined, powdered, crystallized or in lumps",,"* refined cane or beet sugar, containing added flavouring or colouring matter (01.1.8.2)"
01.1.8.2,Other sugars and sugar substitutes (ND),,"* sugars other than cane and beet sugar (e.g., coconut sugar)
* stevia
* glucose and glucose syrup, and fructose and fructose syrup
* lactose and lactose syrup
* invert sugar
* artificial honey, saccharin and other artificial sweeteners
* refined cane and beet sugar, in solid form, containing added flavouring or colouring matter
* maple sugar and maple syrup, caramel, molasses, and sugars and sugar syrups n.e.c.",,
01.1.8.3,"Jams, marmalades, fruit jellies, purées and pastes, and honey (ND)",,"* jams, marmalades, compotes, fruit jellies, purées and pastes
* honey",* lemon curd and other fruit curd,
01.1.8.4,"Nut purées, nut butters and nut pastes (ND)",,"* peanut butter
* other nut butters, such as almond butter, cashew butter, hazelnut butter, macadamia nut butter, pecan butter, pistachio butter and walnut butter",,
01.1.8.5,"Chocolate, cocoa and cocoa-based food products (ND)",,"* cocoa (including cocoa beans) and cocoa powder for all purposes
* chocolate in bars or slabs
* chocolate- and cocoa-based foods and cocoa-based desserts
* chocolate- and cocoa-based creams and spreads
* chocolate-covered food products, if the product is composed mainly of chocolate",,"* white chocolate (01.1.8.9)
* cocoa and chocolate-based drinks (01.2.4.0)"
01.1.8.6,"Ice, ice cream and sorbets (ND)",,"* ice cubes for drinks
* ice cream and kulfi
* sorbet
* frozen yoghurt
* ice pop",* tofu ice cream,* ice for cooling (04.5.5.0)
01.1.8.9,Other sugar confectionery and desserts n.e.c. (ND),,"* vegetables, fruit, nuts, fruit peels and other parts of plants, preserved with sugar
* chewing gum, toffees, lollies, candies, pastilles
* white chocolate
* other confectionery products
* desserts n.e.c.",,* sugar confectionery based on cocoa and chocolate (01.1.8.5)
01.1.9,Ready-made food and other food products (ND),,,,
01.1.9.1,Ready-made food (ND),"Prepared food and meals that either can be eaten as is or after heating but that do not require cooking, or are assembled and portioned in such a way that they can be cooked. They may contain mixed ingredients and can be fresh, frozen, or dehydrated or instant. They can include sauces and dressings which, especially when the food is fresh, may be provided in separate containers. Sometimes, disposable forks, knives, spoons or chopsticks are packed together with the food.","* precooked dishes containing stuffed pasta, rice or other cereals, such as couscous, including vegetables, meat, fish, cheese or other ingredients; and ready-to- eat dumplings, ravioli, noodles and similar dishes, including sauce
* ready-made dishes and meals based on precooked meat, meat substitutes or fish
* TV dinners
* mixed salads and other prepared dishes and meals based on vegetables, pulses or potatoes and also including other ingredients, such as meat, fish and cheese
* sandwiches, pizzas, quiches, meat or fish pies, whether frozen or not
* omelettes, crepes and other food products based on eggs when precooked and served as a main dish
* ready-made soups including dehydrated and instant soups and stews;
* other prepared ready-made dishes and meals, n.e.c.",* meal-kits,"* bread and bakery products, and cakes (01.1.1.3)
* macaroni, noodles, couscous and similar pasta products uncooked, whether stuffed or not (01.1.1.5)
* cheese (01.1.4.5) and yoghurt 01.1.4.6)
* chipped potatoes, frozen (01.1.7.9)
* ice cream (0.1.1.8.6) and other desserts, n.e.c. (01.1.8.9)"
01.1.9.2,Baby food (ND),Food and beverages intended for baby use exclusively.,"* baby formula (powdered, condensed and evaporated milk for baby use)
* baby rice cereals and flours for baby food
* homogenized baby food",,"* cereals and flours not intended exclusively for baby use (01.1.1.1, 01.1.1.2)
* powdered milk not intended exclusively for baby use (01.1.4.3)
* yoghurt for children (01.1.4.6)
* homogenized preparations of fruits and vegetables not intended exclusively for baby use (01.1.6.9; 01.1.7.9)"
01.1.9.3,"Salt, condiments and sauces (ND)",,"* salt, sauces, condiments, and seasonings (including mustard, mayonnaise, ketchup, and soy sauce) and vinegar",* coconut milk for cooking,"* coconut milk for drinking (01.1.4.4)
* fruit pickles (01.1.6.9)
*  vegetable pickles (01.1.7.9)"
01.1.9.4,"Spices, culinary herbs and seeds (ND)",,"* pepper, pimento, ginger and other spices
* parsley, rosemary, thyme and other culinary herbs
* poppy seed, sesame seed, linseed and other seeds",,"* vegetable oils (01.1.5.1)
* seeds for planting (09.3.1.2)"
01.1.9.9,Other food products n.e.c. (ND),,"* sugarcane consumed for the purpose of extracting juice or as a snack
* prepared baking powders and yeasts, broth, stocks, bouillon cubes, soup bases, agar-agar and instant dessert preparations
* other ready-made food and other food products",,
01.2,Non-alcoholic beverages,"Non-alcoholic beverages purchased by households, regardless of where they are consumed, and excluding non-alcoholic beverages that are provided by facilities such as restaurants and school cafeterias offering food and beverage serving services (division 11).",* beverages that do not contain any alcohol,,"* milk (01.1.4.1, 01.1.4.2, 01.1.4.3, 01.1.4.4)
* non-alcoholic wine (02.1.2.1)
* non-alcoholic beer (02.1.3.0)
* non-alcoholic beverages for immediate consumption provided by facilities such as restaurants and school cafeterias, offering food and beverage serving services (11.1.1)"
01.2.1,Fruit and vegetable juices (ND),,"* fruit and vegetable juices, unfermented and not containing added alcohol, whether or not they contain added sugar or other sweetening matter
* syrups of fruit and vegetables and concentrates of fruit and vegetables
* powdered juices",,* sparkling juices (01.2.6.0)
01.2.1.0,Fruit and vegetable juices (ND),,"* fruit and vegetable juices, unfermented and not containing added alcohol, whether or not they contain added sugar or other sweetening matter
* syrups of fruit and vegetables and concentrates of fruit and vegetables
* powdered juices",,* sparkling juices (01.2.6.0)
01.2.2,Coffee and coffee substitutes (ND),,"* coffee, whether or not decaffeinated, roasted or ground, including instant coffee
* coffee substitutes
* coffee extracts, essences and concentrates
* coffee-based beverage preparations","* roasted chicory and other roasted coffee substitutes, and extracts, essences and concentrates thereof","* milk-based beverages, flavoured with coffee (01.1.4.7)"
01.2.2.0,Coffee and coffee substitutes (ND),,"* coffee, whether or not decaffeinated, roasted or ground, including instant coffee
* coffee substitutes
* extracts, essences and concentrates of coffee
* coffee-based beverage preparations","* roasted chicory and other roasted coffee substitutes and extracts, essences and concentrates thereof",* milk-based beverages flavoured with coffee (01.1.4.7)
01.2.3,"Tea, maté and other plant-derived products for infusion (ND)",,"* green tea, unfermented; black tea, fermented; and tea, maté and other plant products, partly fermented, for infusion
* tea substitutes and tea extracts and essences","* fruit and herbal teas
* rooibos tea
* instant tea
* iced tea",
01.2.3.0,"Tea, maté and other plant-derived products for infusion (ND)",,"* green tea, unfermented; black tea, fermented; and tea, maté and other plant products, partly fermented, for infusion
* tea substitutes and tea extracts and essences","* fruit and herbal teas
* rooibos tea
* instant tea
* iced tea",
01.2.4,Cocoa drinks (ND),,* cocoa and chocolate-based drinks,,"* milk, flavoured with chocolate or cacao (01.1.4.7)
* cocoa powder for all purposes; chocolate in bars or slabs; cocoa-based foods and cocoa-based dessert preparations (01.1.8.5)"
01.2.4.0,Cocoa drinks (ND),,* cocoa and chocolate-based drinks,,"* milk flavoured with chocolate or cacao (01.1.4.7)
* cocoa powder for all purposes; chocolate in bars or slabs; cocoa-based foods and cocoa-based dessert preparations (01.1.8.5)"
01.2.5,Water (ND),"Mineral and spring waters, still or sparkling, without added ingredients.",,,* flavoured water (01.2.9.0)
01.2.5.0,Water (ND),"Mineral and spring waters, still or sparkling, without added ingredients.",,,* flavoured water (01.2.9.0)
01.2.6,Soft drinks (ND),,"* soft drinks, such as sodas, lemonades and colas
* sparkling juices",,"* iced tea (01.2.3.0)
* sparkling water (01.2.5.0)
* flavoured water (01.2.9.0)"
01.2.6.0,Soft drinks (ND),,"* soft drinks, such as sodas, lemonades and colas
* sparkling juices",,"* iced tea (01.2.3.0)
* sparkling water (01.2.5.0)
* flavoured water (01.2.9.0)"
01.2.9,Other non-alcoholic beverages (ND),,"* flavoured water
* energy drinks, energy supplement and protein powder for drink preparation
* birch juice and sap; and aloe vera juice and other aloe vera drinks
* syrups and concentrates used in beverage preparation
* other non-alcoholic beverages",,* syrups of fruit and vegetables and concentrates of fruit and vegetables (01.2.1.0)
01.2.9.0,Other non-alcoholic beverages (ND),,"* flavoured water
* energy drinks; energy supplements (which are mixed with water for drink preparation); and protein powder (mixed with water for drink preparation)
* birch juice and sap, and aloe vera juice and drinks
* syrups and concentrates for the preparation of beverages
* other non-alcoholic beverages",,* syrups of fruit and vegetables and concentrates of fruit and vegetables (01.2.1.0)
01.3,Services for processing primary goods for food and non-alcoholic beverages,Services purchased for the processing of primary goods provided by households to produce food and non-alcoholic beverages for their own final consumption.,,,
01.3.0,Services for processing primary goods for food and non-alcoholic beverages (S),Services purchased for the processing of primary goods provided by households to produce food and non-alcoholic beverages for their own final consumption.,"* cereal grinding services for flour production
* oil pressing services
* crushing and pressing services for the production of juices made from fruits and vegetables
* custom slaughtering of land animals, both domestic and wild, for food purposes",,"* food processing services for business purposes (outside the scope of COICOP)
* fruit and vegetable crushing and pressing services for the production of alcoholic beverages (02.2.0.0)"
01.3.0.0,Services for processing primary goods for food and non-alcoholic beverages (S),Services purchased for the processing of primary goods provided by households to produce food and non-alcoholic beverages for their own final consumption.,"* cereal grinding services for flour production
* oil pressing services
* crushing and pressing services for the production of juices made from fruits and vegetables
* custom slaughtering of land animals, both domestic and wild, for food purposes",,"* food processing services for business purposes (outside the scope of COICOP)
* fruit and vegetable crushing and pressing services for the production of alcoholic beverages (02.2.0.0)"
02,"Alcoholic beverages, tobacco and narcotics","Division 02 covers the purchase of alcoholic beverages (02.1), tobacco products (02.3) and narcotics (02.4), regardless of where they are consumed, excluding the purchase of those products in facilities such as restaurants through their food and beverage serving services.
 
Division 02 also includes low-alcohol beverages; and non-alcoholic beverages that are generally alcoholic, such as non-alcoholic beer. Services for the production of alcohol for own consumption (02.2) are also included within this division.

Division 02 excludes alcoholic beverages purchased for immediate consumption for example in hotels, restaurants, cafés, bars and kiosks and from street vendors and automatic vending machines (11.1.1).",,,
02.1,Alcoholic beverages,The beverages classified here include low-alcohol beverages and non-alcoholic beverages that generally contain some alcohol.,,,
02.1.1,Spirits and liquors (ND),,"* eaux de vie, liqueurs and other spirits with a high alcohol content
* mead
* pomace brandies, such as pisco, grappa and marc
* aperitifs, other than wine-based aperitifs",,"* wine-based aperitifs (02.1.2.1, 02.1.2.2)."
02.1.1.0,Spirits and liquors (ND),,"* eaux de vie, liqueurs and other spirits with a high alcohol content
* mead
* pomace brandies, such as pisco, grappa and marc
* aperitifs, other than wine-based aperitifs",,"* wine-based aperitifs (02.1.2.1, 02.1.2.2)"
02.1.2,Wine (ND),,"* wine, cider and perry, including sake
* wine-based aperitifs, fortified wines, champagne and other sparkling wines
* ice wine
* low-alcohol and non-alcoholic wine",,
02.1.2.1,Wine from grapes (ND),,"* wine from grapes
* fortified wines, such as vermouth, sherry and port wine
* champagne and other sparkling wines from grapes
* ice wine
* low-alcohol and non-alcoholic wine
* wine-based aperitifs",,
